TANGGAL,Curah_Hujan
01-01-2024,99.1
02-01-2024,0
03-01-2024,0.5
04-01-2024,21.5
05-01-2024,40.5
06-01-2024,78
07-01-2024,0
08-01-2024,0
09-01-2024,11.9
10-01-2024,0.3
11-01-2024,0
12-01-2024,15
13-01-2024,0.7
14-01-2024,0
15-01-2024,11.5
16-01-2024,0
17-01-2024,12.5
18-01-2024,0.5
19-01-2024,0.4
20-01-2024,6.5
21-01-2024,0
22-01-2024,0
23-01-2024,0
24-01-2024,0
25-01-2024,0
26-01-2024,0
27-01-2024,9
28-01-2024,13.2
29-01-2024,0.4
30-01-2024,9
31-01-2024,33
01-02-2024,11.5
02-02-2024,12.3
03-02-2024,21.1
04-02-2024,2.7
05-02-2024,0.8
06-02-2024,0.2
07-02-2024,0.3
08-02-2024,4.5
09-02-2024,3.5
10-02-2024,24.5
11-02-2024,1.6
12-02-2024,7.1
13-02-2024,0
14-02-2024,0
15-02-2024,0
16-02-2024,13.8
17-02-2024,0.3
18-02-2024,11.4
19-02-2024,0
20-02-2024,0.3
21-02-2024,0
22-02-2024,37.7
23-02-2024,0
24-02-2024,0.3
25-02-2024,7
26-02-2024,64
27-02-2024,0.5
28-02-2024,-
29-02-2024,12.8
01-03-2024,0.5
02-03-2024,12
03-03-2024,6.9
04-03-2024,59.8
05-03-2024,1.2
06-03-2024,0
07-03-2024,0
08-03-2024,29.9
09-03-2024,25.4
10-03-2024,1.5
11-03-2024,4.3
12-03-2024,11
13-03-2024,6.5
14-03-2024,0.2
15-03-2024,11
16-03-2024,4.8
17-03-2024,16.5
18-03-2024,10.4
19-03-2024,0.5
20-03-2024,0
21-03-2024,0
22-03-2024,5.3
23-03-2024,101.7
24-03-2024,-
25-03-2024,0
26-03-2024,1
27-03-2024,8
28-03-2024,73.5
29-03-2024,0.8
30-03-2024,8.5
31-03-2024,0.5
01-04-2024,0.7
02-04-2024,23.5
03-04-2024,0
04-04-2024,0.5
05-04-2024,32
06-04-2024,23.5
07-04-2024,5.5
08-04-2024,3.2
09-04-2024,0
10-04-2024,3.5
11-04-2024,39
12-04-2024,3.5
13-04-2024,0.4
14-04-2024,4
15-04-2024,25.8
16-04-2024,0
17-04-2024,0
18-04-2024,22.6
19-04-2024,3
20-04-2024,0
21-04-2024,18.2
22-04-2024,0
23-04-2024,3.6
24-04-2024,0
25-04-2024,0
26-04-2024,0
27-04-2024,18.5
28-04-2024,37.8
29-04-2024,32.7
30-04-2024,1.8
01-05-2024,0
02-05-2024,14.4
03-05-2024,18.5
04-05-2024,2
05-05-2024,27.4
06-05-2024,0
07-05-2024,4.5
08-05-2024,17.5
09-05-2024,0
10-05-2024,26.4
11-05-2024,6.5
12-05-2024,4.8
13-05-2024,1.2
14-05-2024,64
15-05-2024,1.3
16-05-2024,0
17-05-2024,0
18-05-2024,0
19-05-2024,1
20-05-2024,0
21-05-2024,0
22-05-2024,21
23-05-2024,7.4
24-05-2024,0
25-05-2024,3
26-05-2024,0
27-05-2024,0
28-05-2024,0
29-05-2024,0
30-05-2024,0
31-05-2024,0
01-06-2024,0
02-06-2024,0.7
03-06-2024,0
04-06-2024,0.5
05-06-2024,0
06-06-2024,0
07-06-2024,0
08-06-2024,0
09-06-2024,0.8
10-06-2024,-
11-06-2024,2
12-06-2024,0.4
13-06-2024,9.7
14-06-2024,0
15-06-2024,4
16-06-2024,0.7
17-06-2024,0
18-06-2024,0
19-06-2024,0
20-06-2024,0.9
21-06-2024,0
22-06-2024,0
23-06-2024,0
24-06-2024,0
25-06-2024,0
26-06-2024,1.7
27-06-2024,0
28-06-2024,0
29-06-2024,42.8
30-06-2024,0
01-07-2024,0
02-07-2024,1.8
03-07-2024,0
04-07-2024,0
05-07-2024,14.5
06-07-2024,15.3
07-07-2024,-
08-07-2024,-
09-07-2024,2
10-07-2024,0.3
11-07-2024,5.5
12-07-2024,0
13-07-2024,0
14-07-2024,0
15-07-2024,0
16-07-2024,0
17-07-2024,0
18-07-2024,0
19-07-2024,0.3
20-07-2024,1.6
21-07-2024,0
22-07-2024,0
23-07-2024,0
24-07-2024,0
25-07-2024,0
26-07-2024,0
27-07-2024,0
28-07-2024,0
29-07-2024,0
30-07-2024,0
31-07-2024,0
01-08-2024,0
02-08-2024,1.6
03-08-2024,30
04-08-2024,1.2
05-08-2024,0
06-08-2024,0
07-08-2024,16.5
08-08-2024,0
09-08-2024,4.8
10-08-2024,0
11-08-2024,0
12-08-2024,0
13-08-2024,0
14-08-2024,0
15-08-2024,0
16-08-2024,0
17-08-2024,0
18-08-2024,0
19-08-2024,0
20-08-2024,0
21-08-2024,0
22-08-2024,0
23-08-2024,0
24-08-2024,0
25-08-2024,0
26-08-2024,0
27-08-2024,0
28-08-2024,0
29-08-2024,0
30-08-2024,0
31-08-2024,0
01-09-2024,0
02-09-2024,0
03-09-2024,0
04-09-2024,0
05-09-2024,0
06-09-2024,0
07-09-2024,0
08-09-2024,0
09-09-2024,0
10-09-2024,28.1
11-09-2024,28.4
12-09-2024,0
13-09-2024,1
14-09-2024,0
15-09-2024,0
16-09-2024,0
17-09-2024,0
18-09-2024,0
19-09-2024,0
20-09-2024,0
21-09-2024,0
22-09-2024,0
23-09-2024,0
24-09-2024,0
25-09-2024,15
26-09-2024,36.2
27-09-2024,1.3
28-09-2024,0
29-09-2024,0
30-09-2024,1.2
01-10-2024,0
02-10-2024,0
03-10-2024,0
04-10-2024,1.1
05-10-2024,14.6
06-10-2024,0
07-10-2024,12.5
08-10-2024,0
09-10-2024,15.5
10-10-2024,0
11-10-2024,13.4
12-10-2024,10.5
13-10-2024,33.6
14-10-2024,2.4
15-10-2024,0
16-10-2024,0
17-10-2024,3
18-10-2024,0
19-10-2024,0
20-10-2024,0
21-10-2024,0
22-10-2024,0
23-10-2024,5
24-10-2024,0
25-10-2024,0
26-10-2024,0
27-10-2024,0
28-10-2024,0
29-10-2024,0
30-10-2024,0
31-10-2024,0
01-11-2024,0.2
02-11-2024,0
03-11-2024,2.4
04-11-2024,2.3
